id,product_id,total_quantity,status,created_at,updated_at
1,124,88,delivered,2024-09-30 03:38:30,2024-09-30 03:38:30
2,617,56,delivered,2024-09-06 03:38:30,2024-09-06 03:38:30
3,509,62,placed,2024-11-21 03:38:30,2024-11-21 03:38:30
4,562,24,placed,2024-07-10 03:38:30,2024-07-10 03:38:30
5,883,49,placed,2023-12-11 03:38:30,2023-12-11 03:38:30
6,592,55,placed,2024-01-29 03:38:30,2024-01-29 03:38:30
7,34,26,pending,2024-06-25 03:38:30,2024-06-25 03:38:30
8,197,45,delivered,2024-09-03 03:38:30,2024-09-03 03:38:30
9,133,65,placed,2024-10-10 03:38:30,2024-10-10 03:38:30
10,859,100,placed,2024-10-30 03:38:30,2024-10-30 03:38:30
11,775,99,pending,2024-06-28 03:38:30,2024-06-28 03:38:30
12,747,69,delivered,2024-03-30 03:38:30,2024-03-30 03:38:30
13,662,45,placed,2024-08-15 03:38:30,2024-08-15 03:38:30
14,574,17,delivered,2024-09-21 03:38:30,2024-09-21 03:38:30
15,934,30,placed,2024-02-29 03:38:30,2024-02-29 03:38:30
16,133,84,delivered,2024-04-22 03:38:30,2024-04-22 03:38:30
17,830,51,delivered,2024-06-14 03:38:30,2024-06-14 03:38:30
18,698,34,placed,2024-08-23 03:38:30,2024-08-23 03:38:30
19,223,36,delivered,2024-03-21 03:38:30,2024-03-21 03:38:30
20,238,34,pending,2024-09-19 03:38:30,2024-09-19 03:38:30
21,688,73,placed,2024-09-06 03:38:30,2024-09-06 03:38:30
22,232,58,placed,2024-07-31 03:38:30,2024-07-31 03:38:30
23,286,37,placed,2024-10-07 03:38:30,2024-10-07 03:38:30
24,701,53,placed,2024-04-04 03:38:30,2024-04-04 03:38:30
25,315,91,delivered,2023-12-09 03:38:30,2023-12-09 03:38:30
26,96,72,delivered,2024-08-26 03:38:30,2024-08-26 03:38:30
27,52,75,delivered,2024-03-09 03:38:30,2024-03-09 03:38:30
28,124,21,pending,2024-08-26 03:38:30,2024-08-26 03:38:30
29,146,86,placed,2024-07-20 03:38:30,2024-07-20 03:38:30
30,542,23,pending,2024-09-30 03:38:30,2024-09-30 03:38:30
31,998,100,delivered,2024-10-07 03:38:30,2024-10-07 03:38:30
32,754,20,delivered,2024-03-29 03:38:30,2024-03-29 03:38:30
33,125,51,delivered,2024-04-26 03:38:30,2024-04-26 03:38:30
34,620,74,delivered,2024-06-18 03:38:30,2024-06-18 03:38:30
35,122,92,placed,2024-11-02 03:38:30,2024-11-02 03:38:30
36,765,27,pending,2024-11-05 03:38:30,2024-11-05 03:38:30
37,266,21,placed,2024-08-06 03:38:30,2024-08-06 03:38:30
