id,name,description,image_url,unit_price,bulk_discount_price,minimum_order_quantity,created_at,updated_at
1,Product 1,Description for Product 1,https://via.placeholder.com/150?text=Product+1,318.55,272.76,46,2024-03-11 02:02:54,2024-03-11 02:02:54
2,Product 2,Description for Product 2,https://via.placeholder.com/150?text=Product+2,220.47,133.99,42,2024-06-02 02:02:54,2024-06-02 02:02:54
3,Product 3,Description for Product 3,https://via.placeholder.com/150?text=Product+3,90.47,64.68,9,2024-01-12 02:02:54,2024-01-12 02:02:54
4,Product 4,Description for Product 4,https://via.placeholder.com/150?text=Product+4,189.4,162.47,16,2024-03-10 02:02:54,2024-03-10 02:02:54
5,Product 5,Description for Product 5,https://via.placeholder.com/150?text=Product+5,114.15,66.14,13,2024-03-16 02:02:54,2024-03-16 02:02:54
6,Product 6,Description for Product 6,https://via.placeholder.com/150?text=Product+6,325.45,247.92,39,2024-01-27 02:02:54,2024-01-27 02:02:54
7,Product 7,Description for Product 7,https://via.placeholder.com/150?text=Product+7,329.86,230.14,13,2024-07-06 02:02:54,2024-07-06 02:02:54
8,Product 8,Description for Product 8,https://via.placeholder.com/150?text=Product+8,114.52,91.27,18,2024-01-31 02:02:54,2024-01-31 02:02:54
9,Product 9,Description for Product 9,https://via.placeholder.com/150?text=Product+9,410.9,297.34,35,2024-05-20 02:02:54,2024-05-20 02:02:54
10,Product 10,Description for Product 10,https://via.placeholder.com/150?text=Product+10,406.08,231.14,38,2024-03-27 02:02:54,2024-03-27 02:02:54
11,Product 11,Description for Product 11,https://via.placeholder.com/150?text=Product+11,162.84,144.64,30,2024-08-22 02:02:54,2024-08-22 02:02:54
12,Product 12,Description for Product 12,https://via.placeholder.com/150?text=Product+12,436.68,343.47,21,2024-06-23 02:02:54,2024-06-23 02:02:54
13,Product 13,Description for Product 13,https://via.placeholder.com/150?text=Product+13,133.85,67.79,32,2024-06-18 02:02:54,2024-06-18 02:02:54
14,Product 14,Description for Product 14,https://via.placeholder.com/150?text=Product+14,401.14,372.56,9,2024-06-14 02:02:54,2024-06-14 02:02:54
15,Product 15,Description for Product 15,https://via.placeholder.com/150?text=Product+15,311.47,287.2,21,2024-04-11 02:02:54,2024-04-11 02:02:54
16,Product 16,Description for Product 16,https://via.placeholder.com/150?text=Product+16,456.81,232.18,11,2024-02-23 02:02:54,2024-02-23 02:02:54
17,Product 17,Description for Product 17,https://via.placeholder.com/150?text=Product+17,143.66,90.79,24,2024-07-24 02:02:54,2024-07-24 02:02:54
18,Product 18,Description for Product 18,https://via.placeholder.com/150?text=Product+18,108.21,93.58,6,2024-05-01 02:02:54,2024-05-01 02:02:54
19,Product 19,Description for Product 19,https://via.placeholder.com/150?text=Product+19,478.64,436.06,7,2024-06-13 02:02:54,2024-06-13 02:02:54
20,Product 20,Description for Product 20,https://via.placeholder.com/150?text=Product+20,278.85,219.46,37,2024-01-01 02:02:54,2024-01-01 02:02:54
21,Product 21,Description for Product 21,https://via.placeholder.com/150?text=Product+21,227.84,150.18,11,2024-01-07 02:02:54,2024-01-07 02:02:54
22,Product 22,Description for Product 22,https://via.placeholder.com/150?text=Product+22,259.35,238.59,26,2024-11-14 02:02:54,2024-11-14 02:02:54
23,Product 23,Description for Product 23,https://via.placeholder.com/150?text=Product+23,360.74,290.39,45,2024-11-12 02:02:54,2024-11-12 02:02:54
24,Product 24,Description for Product 24,https://via.placeholder.com/150?text=Product+24,275.76,231.58,29,2024-05-25 02:02:54,2024-05-25 02:02:54
25,Product 25,Description for Product 25,https://via.placeholder.com/150?text=Product+25,279.5,243.15,33,2024-02-25 02:02:54,2024-02-25 02:02:54
26,Product 26,Description for Product 26,https://via.placeholder.com/150?text=Product+26,416.98,352.04,5,2024-05-02 02:02:54,2024-05-02 02:02:54
27,Product 27,Description for Product 27,https://via.placeholder.com/150?text=Product+27,101.25,57.25,49,2024-07-29 02:02:54,2024-07-29 02:02:54
28,Product 28,Description for Product 28,https://via.placeholder.com/150?text=Product+28,197.51,126.9,42,2024-12-03 02:02:54,2024-12-03 02:02:54
29,Product 29,Description for Product 29,https://via.placeholder.com/150?text=Product+29,119.48,83.08,28,2024-02-15 02:02:54,2024-02-15 02:02:54
30,Product 30,Description for Product 30,https://via.placeholder.com/150?text=Product+30,141.9,77.09,40,2024-01-26 02:02:54,2024-01-26 02:02:54
31,Product 31,Description for Product 31,https://via.placeholder.com/150?text=Product+31,271.33,157.93,22,2024-10-07 02:02:54,2024-10-07 02:02:54
32,Product 32,Description for Product 32,https://via.placeholder.com/150?text=Product+32,414.07,375.08,24,2024-05-07 02:02:54,2024-05-07 02:02:54
33,Product 33,Description for Product 33,https://via.placeholder.com/150?text=Product+33,451.53,336.51,16,2024-05-21 02:02:54,2024-05-21 02:02:54
34,Product 34,Description for Product 34,https://via.placeholder.com/150?text=Product+34,113.14,104.52,42,2024-10-25 02:02:54,2024-10-25 02:02:54
35,Product 35,Description for Product 35,https://via.placeholder.com/150?text=Product+35,62.39,42.25,22,2024-08-12 02:02:54,2024-08-12 02:02:54
36,Product 36,Description for Product 36,https://via.placeholder.com/150?text=Product+36,264.89,152.81,28,2024-01-04 02:02:54,2024-01-04 02:02:54
37,Product 37,Description for Product 37,https://via.placeholder.com/150?text=Product+37,320.92,200.12,44,2024-02-28 02:02:54,2024-02-28 02:02:54
38,Product 38,Description for Product 38,https://via.placeholder.com/150?text=Product+38,114.8,67.94,48,2024-04-02 02:02:54,2024-04-02 02:02:54
39,Product 39,Description for Product 39,https://via.placeholder.com/150?text=Product+39,472.25,412.35,9,2024-11-23 02:02:54,2024-11-23 02:02:54
40,Product 40,Description for Product 40,https://via.placeholder.com/150?text=Product+40,328.75,244.6,44,2024-07-18 02:02:54,2024-07-18 02:02:54
41,Product 41,Description for Product 41,https://via.placeholder.com/150?text=Product+41,426.61,301.8,6,2024-11-01 02:02:54,2024-11-01 02:02:54
42,Product 42,Description for Product 42,https://via.placeholder.com/150?text=Product+42,79.38,68.23,42,2024-02-01 02:02:54,2024-02-01 02:02:54
43,Product 43,Description for Product 43,https://via.placeholder.com/150?text=Product+43,198.98,110.8,46,2024-04-17 02:02:54,2024-04-17 02:02:54
44,Product 44,Description for Product 44,https://via.placeholder.com/150?text=Product+44,231.53,123.42,29,2024-08-11 02:02:54,2024-08-11 02:02:54
45,Product 45,Description for Product 45,https://via.placeholder.com/150?text=Product+45,334.76,297.02,28,2024-06-16 02:02:54,2024-06-16 02:02:54
46,Product 46,Description for Product 46,https://via.placeholder.com/150?text=Product+46,94.49,57.45,30,2024-05-31 02:02:54,2024-05-31 02:02:54
47,Product 47,Description for Product 47,https://via.placeholder.com/150?text=Product+47,249.81,126.23,19,2023-12-08 02:02:54,2023-12-08 02:02:54
